animal,pagina,tipo_texto,texto
Jilguero menor,441,mating,"Los Jilgueros menores son monógamos y forman parejas. Crían en verano en las zonas templadas de su área de distribución; en los trópicos, aparentemente crían todo el año, quizás con menos frecuencia en septiembre y octubre. La hembra pone 3-4 huevos de color blanco azulado en un nido en forma de copa hecho de materiales vegetales finos como líquenes, raicillas y tiras de corteza. El nido suele colocarse en un arbusto o a media altura en un árbol. La hembra incuba los huevos durante 12-13 días y el macho le lleva comida durante este periodo. Los polluelos nacen ciegos y desnudos y permanecen en el nido unos 12-14 días."
Paloma bronce crestada,442,habbit,"La Paloma bronce crestada es un ave Muy social y suele reunirse en bandadas de distintos tamaños. Son activas durante el día pero prefieren buscar alimento por la mañana y al atardecer. Forrajean en grupos pequeños o grandes, que también se reúnen para beber en los abrevaderos. El comportamiento más característico de la Paloma bronce crestada es el batir y silbar de sus alas al despegar. Lo más probable es que esto sirva para atraer la atención de los Depredadores hacia las aves en vuelo y alejarlas de las que permanecen en el suelo, y como llamada de alarma a las demás palomas. Cuando las aves aterrizan, sus colas se inclinan hacia arriba y los patrones de vuelo son similares a los de la tórtola moteada. Si se sobresaltan, las Palomas bronceadas crestadas levantan el vuelo produciendo un característico ""reclamo"" silbante."
Paloma bronce crestada,442,appearance,"La Paloma bronce crestada es gris con tintes marrones y verdes. Tiene un pico negro, emplumado pero delgado, en la parte superior de la cabeza. Corre con la cresta erguida. La piel periorbital es de color naranja Brillante. Las alas tienen rayas negras y son bronceadas, mientras que las plumas primarias presentan zonas coloreadas de marrón, púrpura, azul y verde. Las aves inmaduras tienen colores más apagados sin bronceado en las alas. Las aves pueden verse normalmente en dos tamaños, pueden ser delgadas o regordetas. Es casi imposible saber si una Paloma bronce crestada es macho o hembra porque tienen el mismo plumaje."
Paloma bronce crestada,442,mating,"La Paloma bronce crestada es monógama y forma parejas. Se reproducen durante todo el año, con el pico en los meses más cálidos. Los machos realizan una exhibición de cortejo para atraer a la hembra mostrando una elaborada danza de apareamiento; menean el cuerpo arriba y abajo mientras abren y cierran las alas como un abanico con cada meneo. Esto va acompañado de un suave ulular acompasado con el meneo. La Paloma bronce crestada suele anidar en arbustos o árboles construyendo una plataforma de ramitas. La hembra pone 2 huevos ovalados, blancos y brillantes y ambos padres los incuban durante unas 3 semanas. Durante otras 3 semanas, ambos padres alimentarán y protegerán a sus pichones hasta que estén listos para abandonar el nido."
Rascón weka,443,habbit,"Viven en praderas, monte bajo o en los márgenes del bosque, siempre y cuando abunden la maleza o los matorrales. Son omnívoros que se alimentan principalmente de invertebrados y fruta, pero también comen semillas y pequeños vertebrados como ratas, pájaros y lagartos. También pueden alimentarse de carroña, huevos de aves y brotes de hierba. Aunque los wekas pueden criar en todo el año, produciendo hasta cuatro crías en un año, ponen los huevos generalmente entre agosto y enero. Ambos sexos ayudan a incubar los huevos."
Rascón weka,443,appearance,"Los wekas son aves robustas de color marrón, del tamaño de un pollo e incapaces de volar. Generalmente miden alrededor de 50 cm de alto y pesan en torno a 1 kg."
Rascón weka,443,mating,"Los rascones weka son monógamos y forman parejas duraderas. Su época de cría varía, pero cuando el alimento es abundante, el rascón weka puede criar hasta 4 nidadas a lo largo de todo el año. Los nidos se hacen en el suelo, al abrigo de la espesa vegetación, y se construyen convirtiendo la hierba (o un material similar) en un cuenco para guardar los huevos. Por término medio, las hembras ponen 3 huevos cremosos o rosáceos manchados de marrón y malva. Ambos padres participan en la incubación. Los polluelos eclosionan al cabo de un mes y son alimentados por ambos progenitores hasta que crecen completamente, entre las 6 y las 10 semanas."
Cerceta aliazul,444,habbit,"Las Cerceta aliazul son aves muy sociales. Se alimentan, descansan y Migran en bandadas. Son diurnas pero siempre migran de noche. Estos patos se alimentan chapoteando en aguas poco profundas en el borde de las marismas o en aguas abiertas. Las Cerceta aliazul suelen ser los primeros patos en llegar al sur en otoño y los últimos en llegar al norte en primavera. Los machos adultos abandonan las zonas de cría mucho antes que las gallinas adultas y los inmaduros. La mayoría de las bandadas de Cerceta aliazul que se ven después de mediados de septiembre están compuestas en su mayoría por gallinas adultas e inmaduros. En las zonas migratorias centrales, suelen permanecer hasta septiembre y luego disminuyen rápidamente durante octubre, con pequeños números que permanecen hasta diciembre. En septiembre aparecen grandes cantidades de Cerceta aliazul en las zonas de invernada de Florida, Luisiana y Texas. Durante la Migratoria, algunas aves pueden volar largas distancias sobre el Océano abierto. La Cerceta aliazul se comunica entre sí vocalmente; la llamada del macho es un silbido corto, mientras que la de la hembra es un graznido suave."
Cerceta aliazul,444,appearance,"Es pardo manchado y punteado de negro, con diseño alar como el del pato pico cuchara sudamericano, cabeza y cuello ceniciento oscuro, notable medialuna en la cara y mancha blanca en los flancos, en los machos. La hembra no tiene la medialuna en la cara, pero tiene una leve ceja loreal clara. El macho es más grande que la hembra; la longitud total es de 35 a 41 cm. El peso oscila entre 325 y 500 g, según la temporada del año; son más pesados antes de la migración. Ambos sexos mudan las plumas dos veces al año. El pico (culmen) mide de 4 a 4,2 cm. El largo total del ala va de 17,5 a 18,2 cm. La cola mide 6,5 cm. El tarso tiene 3,25 cm."
Cerceta aliazul,444,mating,"Nidifican de abril a mayo en el hemisferio norte. Las parejas se forman en invierno, llegando juntos al lugar donde van a anidar. Los machos son territoriales en época de cría. La hembra pone de seis a catorce huevos de color crema, los cuales incuba ella misma durante diecinueve a veintinueve días; todos los pichones nacen el mismo día. Los juveniles vuelan a los cuarenta días, madurando sexualmente en la temporada siguiente."
Silbón europeo,445,habbit,"El sibón europeo es pato de humedales abiertos, como las marismas o herbazales húmedos con alguna vegetación más alta. Generalmente se alimenta de plantas en la superficie del agua o pastando. En invierno habita próximo al litoral, en aguas saladas y salobres, ya sean marismas, estuarios, o en el mar. En cambio en época de cría se instala en aguas dulces. Las aguas interiores donde podemos encontrar a esta especie son lagunas, lagos y embalses. Anida en el suelo, a cubierto cerca del agua. Es un ave muy gregaria fuera de la época de cría y suele formar grandes bandadas. En Estados Unidos se une a las bandadas de silbones americanos, y puede hibridar con ellos.  Es una especie ruidosa. Los machos emiten un claro silbido de tipo ""pyiiu pjiiu"", mientras que ha hembra emite bramidos tipo: ""rawr"". El silbón europeo es una de las especies incluidas en el Acuerdo de conservación de aves acuáticas migratorias euroafricanas (AEWA) applies. Se clasifica como especie bajo preocupación menor. "
Silbón europeo,445,appearance,"El silbón europeo alcanza los 42-50 cm de longitud y una envergadura alar de 71-80 cm, y suele presentar un peso entre los 500 y 1073 g. El macho adulto en época reproductiva tiene la parte superior y los flancos de color gris, la parte trasera y cola de color negro y el vientre de color blanco. Su pecho es rosado en un tono tinto claro, mientras que su cabeza es castaña rojiza con una franca amarillenta clara en la frente y frontal del píleo. El patrón de la parte superior de sus alas se compone de un espéculo verde oscuro bordeado por dos listas negras y una gran franja blanca en las coberteras alares. El plumaje de eclipse del macho es más similar al de la hembra. La hembra es principalmente de color marrón claro, salvo en las plumas de su parte superior que son de color pardo oscuro con bordes más claros, y el vientre blanco como los machos. Además las hembras pueden presentar dos morfo: uno con la cabeza más rojiza y el otro con la cabeza más grisácea.   La hembra de silbón europeo tiene un plumaje similar al de la hembra de silbón americano. Se puede distinguir de la hembra de otros patos, salvo de la de silbón americano, por sus formas. La hembra del silbón europeo se diferencia de la del silbón americano, porque esta última tiene la cabeza más clara y tiene blanca la parte inferior de las alas junto a la axila."
Silbón europeo,445,mating,"Los Silbones europeos son monógamos en serie, lo que significa que las parejas permanecen juntas sólo durante una temporada de cría. Suelen criar entre abril y mayo. Una vez formada la pareja, el macho vigilará a la hembra hasta que ésta ponga los huevos. Una vez que la hembra ha puesto los huevos, el macho parte hacia las zonas de muda. El Silbón europeo anida en el suelo, cerca del agua y a cubierto. La hembra pone de 6 a 12 huevos y los incuba durante unos 24-25 días. Los patitos se cubren de plumón y son capaces de caminar poco después de nacer. Empluman a los 40-45 días y alcanzan la madurez reproductiva entre uno y dos años de edad."
Curruca mosquitera,446,habbit,"Las Currucas mosquiteras son aves diurnas. Forrajean durante las horas diurnas recogiendo sus presas de hojas y ramitas, a veces planeando para hacerlo. Suelen buscar alimento a menos de 6 m del suelo. Algunos frutos como la morera pueden cogerlos al vuelo. A pesar de ser aves solitarias, las Currucas mosquiteras migran en bandadas junto con Otros pájaros pequeños. Cuando las Currucas mosquiteras cruzan el Sáhara, vuelan de noche, descansando inmóviles y sin alimentarse en la sombra adecuada durante el día. Muchas aves hacen una pausa de unos días para alimentarse tras la travesía del Desierto antes de continuar hacia el sur. La migración hacia el sur comienza a mediados de julio, con un mayor número partiendo en agosto y alcanzando su punto máximo a principios de septiembre. El reclamo más frecuente de la Curruca mosquitera es un agudo 'kek-kek', que se repite rápidamente cuando el ave está alarmada. A veces también se oye un 'tchurr-r-r' ' raspante y tranquilo. El juvenil tiene una vocalización de alarma 'quia'. El canto del macho es un rico gorjeo musical, generalmente emitido por aves en cobertura densa."
Curruca mosquitera,446,appearance,"Esta pequeña ave presenta una longitud de 14 cm, una envergadura de 22 cm y un peso de unos 16 o 20 g. El diámetro del iris, de color castaño, ronda los 3,5 mm. En cuanto al plumaje, se describe de un color apagado y en conjunto nada vistoso. Tanto macho como hembra presentan tonos pardos grisáceos en las partes superiores, y más blancuzcos en las inferiores. Pecho y flancos de un color levemente amarillento."
Curruca mosquitera,446,mating,"La curruca mosquitera fabrica su nido generalmente a muy poca altura del suelo, pues ni siquiera suele superar los 40 cm, pudiendo encontrarse a 10 cm, y como altura máxima a un metro y medio del mismo. El nido, relativamente ligero, es construido y ocultado por macho y hembra entre hierbas o ramas. Las puestas son de unos 4 o 5 huevos, los cuales serán incubados por ambos adultos durante 11 o 14 días. Los jóvenes abandonan su nido precozmente, pues lo hacen incluso antes de saber volar."
Treron phoenicopterus,447,habbit,"Los Treron phoenicopterus son aves sociales y buscan alimento en bandadas. Son activas durante las horas diurnas y, a primera hora de la mañana, se las ve a menudo tomando el sol en las copas de los árboles emergentes. El reclamo común de estas aves es un silbido ""kwa-kow""."
Treron phoenicopterus,447,appearance,"El macho del Treron phoenicopterus es verde oliva por encima y tiene el cuello amarillo oliva, y una mancha rojo lila en el hombro que suele estar ausente en las hembras. Las patas y la parte inferior del cuerpo son de color amarillo. La hembra del Treron phoenicopterus es ligeramente más apagada que el macho."
Treron phoenicopterus,447,mating,Los Treron phoenicopterus son monógamos. Forman parejas y son territoriales durante la época de cría. Suelen criar de marzo a junio dependiendo de la ubicación. Los Treron phoenicopterus anidan en las ramas de los árboles y a veces en los arbustos. Las hembras ponen una media de 2 huevos. Los pollos son altriciales; nacen ciegos e indefensos y requieren cuidados parentales.
Cuervo pescador,450,habbit,"Los Cuervos pescadores son gregarios pero durante la época de cría se vuelven territoriales. Forrajean en bandadas y en invierno pueden reunirse en bandadas que contienen de cientos a miles de cuervos. Se alimentan durante el día cogiendo comida principalmente del suelo o de aguas poco profundas donde revolotean y arrancan los alimentos del agua con las patas. Son inteligentes y curiosos. La llamada de los Cuervos pescadores se ha descrito como un ""ark-ark-ark"" nasal o un ""waw-waw"" suplicante. También tienen una llamada única que suena como 'cahrrr'."
Cuervo pescador,450,appearance,El cuervo pescador posee ciertas similitudes con el cuervo americano pero es más pequeño midiendo de 36–41 cm de largo y su plumaje es más suave y sedoso. Sus partes inferiores poseen un brillo azul o azul-verdoso. Los ojos son un color pardo oscuro. Las diferencias solo se notan cuando ambas especies se colocan lado a lado o al escuchar su llamado. Su pico es un poco más delgado que el del cuervo americano. La diferenciación visual con respecto al cuervo americano es muy difícil y a menudo poco exacta.  Sin embargo existen otras diferencias además del tamaño. Los cuervos pescadores poseen picos y patas más delgados. Además pueden tener una pequeña protuberancia al final del segmento superior del pico. Los cuervos pescadores también parece como si tuvieran patas más cortas al caminar. Además un elemento de diferenciación importante es que al llamar el cuervo pescador se agacha y eriza las plumas de la garganta.
Cuervo pescador,450,mating,"Los Cuervos pescadores son monógamos y forman parejas. Se reproducen desde finales de marzo hasta mediados de junio y crían una sola pollada por temporada. El nido suele construirse en lo alto de un árbol y suele estar acompañado en los árboles cercanos por otros nidos de cuervos pescadores que forman pequeñas colonias sueltas. Suelen poner 4 ó 5 huevos. De color verde azulado pálido, llevan manchas de color pardo oliváceo. La incubación dura entre 16 y 19 días. Los pollos son altriciales; nacen ciegos y desnudos. Permanecen en el nido entre 32 y 40 días y se independizan un mes después de volar. Los jóvenes Cuervos pescadores suelen alcanzar la madurez reproductiva alrededor de los 15 meses de edad."
Pato arlequín,451,habbit,"Los Patos arlequín son diurnos y se alimentan nadando bajo el agua o buceando. Pueden bucear hasta 3-4 m de profundidad y permanecer bajo el agua hasta 45 segundos. Estas aves son excelentes nadadoras y tienen unas plumas lisas y densas que atrapan mucho aire en su interior. Esto es vital para aislar unos cuerpos tan pequeños de las frías aguas que surcan. También les confiere una flotabilidad excepcional, que les hace rebotar como corchos tras los Dives. Los Patos arlequín son sociales y suelen alimentarse en grupo. Suelen ser silenciosos, sin embargo, durante la época de cría, los machos se vuelven más vocales."
Pato arlequín,451,appearance,"Los machos adultos reproductores tienen un colorido y complejo patrón de plumaje. La cabeza y el cuello son de color azul pizarra oscuro con una gran marca blanca en forma de media luna delante del ojo; también hay un pequeño punto redondo detrás del ojo y una mancha oval más grande a lo largo del cuello. Una franja negra en la coronilla recorre la parte superior de la cabeza, con manchas castañas a ambos lados. Un collar blanco bordeado de negro separa la cabeza del pecho. El cuerpo es en gran parte de un azul pizarra más claro con los lados castaños. Una barra blanca bordeada de negro divide verticalmente el pecho de los flancos. La cola es negra, larga y puntiaguda. El espéculo (una mancha en las plumas secundarias de las alas) es azul metálico. Las plumas secundarias interiores son blancas y forman marcas blancas sobre el dorso cuando están plegadas. El pico es gris azulado y el ojo rojizo. Las hembras adultas son menos vistosas, con un plumaje gris parduzco con tres manchas blancas en la cabeza: alrededor de la mancha detrás del ojo, una mancha más grande desde el ojo hasta el pico y una pequeña mancha encima del ojo."
Pato arlequín,451,mating,"Los patos arlequín son monógamos y forman parejas de larga duración. Comienzan a criar en mayo-junio y durante este tiempo el macho realiza la danza de cortejo para la hembra. Sacude la cabeza y la cola y produce silbidos agudos mientras nada alrededor de la hembra. Los patos arlequín suelen anidar en un lugar bien oculto en el suelo, cerca de un arroyo. La hembra pone de 5 a 8 huevos y los incuba sola durante 27-29 días. Pocos días después de la eclosión, la hembra lleva a sus patitos al agua y les enseña a coger su propia comida. Los patitos salen del nido y se independizan entre 50 y 70 días después de la eclosión. Alcanzan la madurez reproductiva en torno a los 2 años de edad."
Nínox maorí,452,habbit,"Generalmente se encuentra solo, en parejas o pequeños grupos familiares formados por una pareja de adultos y hasta tres juveniles aunque es principalmente nocturno caza principalmente al anochecer y amanecer, con una actividad menor el resto de la noche. Si el cielo está encapotado puede cazar por el día. Caza al acecho desde un posadero. Se alimenta de pequeños mamíferos, aves e insectos como polillas, saltamontes y wetas en Nueva Zelanda."
Nínox maorí,452,appearance,"Mide alrededor de 30 cm de longitud, con una cola relativamente larga y sin plumas en la cabeza que simulen orejas. Su plumaje es principalmente pardo, con algún moteado blanquecino en la espalda, un denso veteado claro en las partes inferiores y con la cola listada. Suele presentar listas superciliares blanquecinas que se unen junto al pico en forma de «V»."
Nínox maorí,452,mating,"Los Nínox maorí son aves monógamas que forman parejas fuertes y duraderas. Suelen criar entre septiembre y febrero y anidan en cualquier lugar donde los árboles sean lo suficientemente grandes como para tener huecos. Los nidos se encuentran en huecos de árboles, agujeros de árboles y, a veces, en la horquilla de un árbol. La hembra pone 2-3 huevos blancos y los incuba en un mes. Los mochuelos nacen indefensos y tienen el plumón blanco grisáceo. Son alimentados por ambos padres y empluman a las 5 semanas de edad. Las crías suelen permanecer con sus padres algún tiempo más y alcanzan la madurez reproductora cuando tienen 2-3 años."
Elanio común,454,habbit,"Los milanos negros son aves diurnas. Suelen verse solitarios o en parejas, pero por la noche se posan comunalmente en grupos de 15 a 35 ejemplares (mayor número en Europa) que convergen en un gran árbol frondoso. Suelen cazar volando lentamente como los aguiluchos, pero también planean como los cernícalos. En raras ocasiones, pueden cazar presas en vuelo. Utilizan las perchas para cazar y para alimentarse, pero a veces pueden manipular presas grandes en el suelo. En el sur de África, prefieren los arcenes de las carreteras para alimentarse. Los milanos de alas negras son extremadamente silenciosos y las llamadas registradas incluyen un chillido agudo o un silbido suave. Llaman principalmente durante la época de cría y en el lugar donde se posan."
Elanio común,454,appearance,"Es un ave inconfundible. Tiene la cabeza blanca con una ""máscara"" negra, y su parte inferior es blanca excepto las puntas de las afiladas alas, que son negras. La parte superior es gris azulada, con manchas negras en los hombros. La cola, corta y cuadrada, le diferencia de los milanos. Son muy difíciles de ver a simple vista, porque al volar se camuflan entre los cielos grises y nublados."
Elanio común,454,mating,"El vuelo nupcial de esta especie es elegante y ágil: vuela en las alturas dando círculos para, a continuación, zambullirse o planear con las alas en forma de V. Nidifica en la copa de los árboles, preferiblemente espinosos, donde pone de 3 a 4 huevos."
Albatros real,455,habbit,"Los Albatros reales pasan la mayor parte de su vida en el Océano abierto y sólo se acercan a tierra para anidar y criar a sus pequeños. Generalmente son aves solitarias pero se reúnen en lugares donde abunda la comida o alrededor de los barcos pesqueros. Las aves inmaduras y las que no han encontrado pareja pueden reunirse en grandes colonias en tierra, en zonas de descanso. Los Albatros reales pueden estar activos tanto de día como de noche. Sus actividades de búsqueda de alimento tienen lugar normalmente en un radio de 1250 km (777 millas) del lugar de cría. Aunque recorren grandes distancias, los albatros reales en general prefieren buscar alimento en aguas algo menos profundas y más cerca de las plataformas continentales."
Albatros real,455,appearance,"El albatros real del sur juvenil tiene la cabeza, el cuello, la parte superior del manto, la grupa y las partes inferiores blancas. Tiene motas negras en el manto y alas marrón oscuro o negras con motas blancas en las coberteras. La cola es blanca salvo la punta negra, al igual que la parte inferior de las alas. Los ejemplares jóvenes pierden pronto el negro de la cola y el dorso. El blanco aparece en la parte superior de las alas gradualmente, como motas que parten del borde anterior. Los Albatros real de todas las edades tienen el pico rosa con negro en el borde cortante de la mandíbula superior, y las patas son de color carne. Las aves jóvenes con las alas superiores completamente oscuras pueden ser difíciles de diferenciar del Albatros real del norte."
Albatros real,455,mating,"Los Albatros reales son monógamos y forman parejas de por vida. Ponen huevos cada dos años, normalmente en noviembre o diciembre. Los Albatros reales atraen a sus parejas realizando chasquidos con el pico, aplaudiendo y tragando saliva. Otro modo consiste en llamar al cielo con las alas extendidas y el cuello y la cabeza estirados hacia arriba. La hembra suele poner un huevo y ambos progenitores lo incuban y crían a su polluelo. La incubación dura 79 días. Tras el nacimiento del polluelo, la cría tarda unos 240 días en desarrollar completamente las alas y volar por sí misma. Los Albatros reales jóvenes alcanzan la madurez reproductiva y empiezan a criar entre los 9 y los 11 años de edad."
Turpial de ojo rayado,456,habbit,"Los Turpial de ojo rayado son sociales pero durante la época de cría suelen pasar el tiempo en parejas y sólo a veces pueden formar pequeños grupos. Estas aves son activas durante el día. Forrajean en árboles y arbustos, realizando también vuelos cortos para capturar insectos. Los Turpial de ojo rayado también acuden fácilmente a un plato lleno de gelatina de uva. Sus padres guían a los volantones, les dan de comer jalea y luego los machos adultos abandonan la zona. Los jóvenes permanecen en el plato de jalea desde que se alimentan por primera vez a principios de julio y se marchan a finales de septiembre. Tanto los machos como las hembras del Turpial de ojo rayado cantan. Aunque los machos tienen una voz más dulce, las hembras suelen ser cantoras más prolíficas. Su canto es similar al de la Oropéndola de baltimore pero más rápido y algo más áspero. Cuando llega el momento de Migrar, las Turpial de ojo rayado suelen volar de noche en pequeñas bandadas."
Turpial de ojo rayado,456,appearance,"Los Turpial de ojo rayado adultos tienen un pico puntiagudo con el culmen recto. En los machos adultos, la cola es larga, cuadrada y de color negro azabache. Toda la piel expuesta es negra, al igual que las garras y el pico, aunque la base de la mandíbula inferior se aclara hasta el gris azulado. Los machos adultos tienen un plumaje naranja y negro muy contrastado, una mancha negra en la garganta y una barra blanca en las alas. Las partes inferiores, el pecho y la cara son de color naranja o amarillo; por el contrario, el dorso, las alas y la cola son negros. Una línea negra se extiende desde cada ojo hasta la coronilla negra. Las coberteras alares (plumas que no se utilizan directamente en el vuelo) están orladas de blanco, formando una mancha alar. Aunque la cola es mayoritariamente negra, las tres o cuatro rectrices exteriores (plumas de vuelo) tienen la punta naranja, formando una ""T"". Las hembras adultas, por el contrario, tienen las partes superiores de color marrón grisáceo, amarillo más apagado en el pecho y las partes inferiores y una coronilla olivácea. Algunas hembras pueden tener también una mancha oscura en la garganta, similar (pero menos extensa) a la que presentan los machos adultos; en todos los casos, las hembras carecen de la línea ocular negra presente en los machos adultos. Se cree que las hembras con manchas en la garganta son individuos de mayor edad. Los juveniles se parecen a las hembras adultas pero tienen las alas más oscuras, las coberteras alares más frescas y el pico rosado o blanquecino."
Turpial de ojo rayado,456,mating,"Los Turpial de ojo rayado son monógamos en serie, lo que significa que forman parejas sólo durante una temporada de cría. Suelen criar de mayo a julio. El momento exacto del inicio de la temporada de cría tiende a variar geográficamente; en general, la cría comienza más tarde en las partes más septentrionales y occidentales de su área de distribución geográfica. A pesar de ser territoriales durante la época de cría, las parejas apareadas cooperan para tejer cestas profundas y colgantes en las que se depositan entre 3 y 6 huevos, aunque las hembras suelen hacer gran parte del trabajo. El nido está tejido con fibras vegetales, principalmente corteza, y fibra fina de hierba, aunque también se suele utilizar pelo animal. El nido está forrado de plumón, pelo y musgo. Sólo la hembra incuba los huevos durante 12-14 días, pero ambos progenitores crían a las crías y defienden el nido de los depredadores y los parásitos del nido. Los pollos salen del nido en 2 semanas tras la eclosión y suelen permanecer en grupos familiares."
Paloma de collar,457,habbit,"Las Palomas de collar son aves diurnas. Fuera de la época de cría, forman bandadas, a veces de más de 50 aves, y a menudo se vuelven Nómadas, siguiendo la cosecha de bellotas o desplazándose a altitudes más bajas o a Otras zonas fuera de su área de cría. También se congregan con frecuencia en manantiales minerales y beben de ellos, aunque no se sabe muy bien por qué. Las Palomas de collar son relativamente tranquilas para ser palomas. Su voz es grave y parecida a la de un búho, a menudo en llamadas de dos sílabas que suben y luego bajan (huu-ooh) con un espaciado uniforme entre las llamadas. También emiten una variedad de graznidos ásperos por diversos motivos."
Paloma de collar,457,appearance,"El plumaje de la Paloma de collar es gris, algo más oscuro por encima. La cabeza y las partes inferiores tienen un tenue tinte rosado, sobre todo en el macho adulto; el vientre es casi blanco. La mitad distal de la cola también es pálida (excepto en la subespecie de Baja California), de ahí el nombre inglés. El pico y las patas son amarillos, con buenas marcas de identificación a una distancia suficientemente corta. Los adultos tienen irisaciones verdes en la nuca, junto a un fino collar blanco en la nuca. Los juveniles tienen los bordes de las plumas blancos por encima, lo que les da un aspecto escamoso."
Paloma de collar,457,mating,"Las Palomas de collar son monógamas, lo que significa que forman parejas. Construyen un nido rudimentario de plataforma en las ramas de los árboles con ramitas, en el que la hembra pone 1 ó 2 huevos. La incubación dura entre 16 y 22 días. El polluelo, llamado pichón, está indefenso cuando sale del cascarón y suele permanecer en el nido entre 15 y 29 días."
Tarro canelo,458,habbit,"En la época de cría suele encontrarse en parejas dispersas, mientras que fuera de la época de reproducción se congrega en pequeñas bandadas. Es una especie omnívora que se alimenta de brotes de hierba, semillas, insectos, moluscos, crustáceos, lombrices, renacuajos y pequeños peces. Suele anidar en depresiones en el suelo lejos del agua. También puede anidar en sitios altos, como barrancos rocosos, taludes arenosos y en huecos de los árboles, y utilizar las madrigueras excavadas por otros animales."
Tarro canelo,458,appearance,"El tarro canelo es una anátida con un porte intermedio entre pato y ganso. Mide entre 58 y 70 cm de largo y tiene una envergadura alar de 110 a 135 cm. El plumaje es principalmente de color castaño anaranjado, más claro en la cabeza y el cuello. Las coberteras de las alas son blancas y las plumas de vuelo son negras, al igual que la cola. El pico y las patas son negruzcos. Ambos sexos son muy similares, pero pueden distinguirse porque los machos tienen una lista negra a modo de collar en la parte inferior del cuello, más prominente en la época de cría estival, y las hembras suelen tener una mancha blanca en el rostro. Las llamadas del tarro canelo consisten en graznidos altos."
Tarro canelo,458,mating,"El Tarro canelo es monógamo y forma fuertes parejas que se cree que duran toda la vida. Las aves llegan a sus principales zonas de cría en Asia central en marzo y abril. Cuando anidan, los Tarro canelos son muy agresivos con los de su especie y con Otro. La hembra, en particular, se acerca a los intrusos con la cabeza baja y el cuello extendido, profiriendo gritos de cólera. Si el intruso se mantiene firme, la hembra regresa junto al macho y corre a su alrededor, incitándole a atacar. Puede hacerlo o no. El ritual de cortejo incluye estirar el cuello, hundir la cabeza y levantar la cola. El lugar de nidificación suele estar lejos del agua, en un agujero de un árbol o de un edificio en ruinas, en una grieta de un acantilado, entre las dunas de arena o en la madriguera de un animal. El nido lo construye la hembra utilizando plumas y plumón y algunas hierbas. La hembra pone de 6 a 12 huevos entre finales de abril y principios de junio y los incuba sola mientras el macho permanece atento en las proximidades. Los huevos eclosionan al cabo de unos 28 días y ambos padres cuidan de las crías, que empluman en 55 días más. Tras la cría los adultos mudan, perdiendo la capacidad de volar durante aproximadamente un mes mientras lo hacen. Antes de mudar se trasladan a grandes masas de agua donde pueden evitar más fácilmente la depredación mientras no vuelan. La Familia puede permanecer unida como grupo durante algún tiempo; la migración otoñal comienza alrededor de septiembre y las crías pueden madurar en su segundo año. Las aves del norte de África suelen criar unas 5 semanas antes."
Cacatúa gang-gang,459,habbit,"Las Cacatúas gang-gang pueden observarse a menudo en pequeños grupos fuera de la época de cría, pero forman grandes bandadas en sus fuentes de comida y agua. Estas aves son arborícolas y sólo se las ve en el suelo para beber o coger semillas de los conos caídos. En la época de cría se reúnen en grupos familiares o en parejas. Durante las partes cálidas del día descansan en árboles frondosos, pero durante los chubascos de lluvia y nieve pueden realizar acrobacias aéreas. Las cacatúas gang-gang son potentes voladoras, pero suelen realizar vuelos cortos de un árbol a otro. Su vuelo es ""de búho"" y sus alas baten lentamente. Sus acrobacias aéreas consisten en volar en círculos sobre la copa de los árboles y, de vez en cuando, descender en picado entre ellos. Los vuelos de larga distancia tienen lugar a gran altura y terminan con una espiral hacia el suelo mientras se retuercen y giran. Los gang-gangs no son excesivamente ruidosos. Durante la alimentación, suelen emitir un suave gruñido."
Cacatúa gang-gang,459,appearance,"La cacatúa gang-gang tiene el plumaje de todo su cuerpo de color gris, con la excepción de la cabeza del macho que es roja, los machos juveniles tienen solo la cresta y la mitad de la cabeza rojos."
Cacatúa gang-gang,459,mating,"Las cacatúas gang-gang son aves monógamas y se emparejan de por vida. Anidan en los huecos profundos de los árboles y las parejas suelen regresar cada año al mismo árbol. La época de cría tiene lugar entre octubre y enero. La hembra suele poner dos huevos blancos y la incubación dura entre 24 y 30 días, realizada por ambos progenitores. Los adultos alimentan a los pollos durante 7-8 semanas y 4-6 semanas más después del volantón. A menudo se ven grupos familiares alimentándose juntos en la época de cría. A veces se forman ""guarderías"": cuando varias parejas anidan cerca unas de otras, sus crías se posan juntas en el mismo árbol mientras los padres buscan comida. Estas cacatúas comienzan a criar a los cuatro años de edad."
Halcón mexicano,460,habbit,"Habita en regiones semiáridas, tal vez áridas, y lugares donde la vegetación no es muy alta o densa. Se le documenta hasta los 2300 msnm. Anida en las montañas en las salientes de las rocas, en las grietas en las rocas, en las cuevas y en otros lugares donde encuentre protección. Deposita los huevos en el fondo o suelo del lugar seleccionado sin añadirle ningún material. La nidada consiste de tres a cuatro huevos, pueden ser hasta seis. Algunos regresan a anidar en la misma localidad del año anterior. Se alimenta de mamíferos pequeños; así como conejos. Complementa su dieta con aves medianas. Caza volando a una altura de 15 a 90 m."
Halcón mexicano,460,appearance,"Muy similar en apariencia al halcón peregrino. Se distingue al ser su plumaje más claro. De longitud logra entre 38 y 45 cm; alas hasta 1 m de envergadura, y 750 g de peso."
