animal,pagina,tipo_texto,texto
Aonyx cinereus,352,habbit,"Estas nutrias son las más sociales entre las especies de nutrias y viven en grupos familiares extensos de entre 12 y 20 individuos. Estos animales son diurnos (activos durante el día) y habitan en zonas remotas, generalmente libres de molestias humanas, aunque algunos se han adaptado a vivir cerca de pueblos. Se acicalan el pelaje continuamente para mantener sus cualidades aislantes. Son excelentes nadadores, nadan moviendo las patas traseras y la cola. Después de nadar o alimentarse, tienden a frotarse contra los troncos y la vegetación de la zona para dejar su olor, una forma de ""marcaje olfativo"". Suelen descansar y dormir en tierra, ya sea en sus madrigueras o en algún lugar sobre el suelo, a menudo durmiendo en zonas de perturbación moderada. Las nutrias Aonyx cinereus se ven a menudo deslizándose por bancos fangosos en las Regiones que visitan con frecuencia. Defienden su territorio arañando, trabajando y, ocasionalmente, peleando."
Aonyx cinereus,352,appearance,"La nutria Aonyx cinereus tiene un pelaje de color marrón oscuro con algún tinte rufo en el lomo, pero más pálido por debajo. Su subpelo es más claro cerca de la base. Los lados del cuello y la cabeza son marrones, pero sus mejillas, labio superior, barbilla, garganta y lados del cuello son blanquecinos. Su cráneo es corto, y el rinón desnudo redondeado por encima. El hocico tiene largas y toscas vibrisas a ambos lados. Sus ojos están situados hacia la parte delantera de la cabeza. Las pequeñas orejas son de forma ovalada con un tragus y un antitragus poco visibles. Sus patas son estrechas con dedos cortos palmeados hasta la última articulación. Hay pelos cortos en los lados inferiores de las telarañas interdigitales. Las almohadillas plantares cuatrilobuladas son más largas que anchas. Las garras son cortas, casi erectas, y en algunos individuos incluso ausentes. Las hembras tienen cuatro glándulas mamarias."
Aonyx cinereus,352,mating,"Las nutrias Aonyx cinereus forman una pareja monógama de por vida. La pareja alfa es la única que cría y las crías anteriores ayudan en la crianza de las crías. La cría se produce durante todo el año, a veces se producen dos camadas al año. Tras una gestación de 60 días, la camada de 1-6 (media de 2) nace en su madriguera nido en la orilla fangosa del río. Los machos ayudan a hacer la madriguera del nido y traen comida cuando nacen las crías. Las crías están relativamente poco desarrolladas cuando nacen, con los ojos cerrados y pesando sólo dos onzas (50 gm). Las primeras semanas las pasan amamantando cada 3-4 horas. Abren los ojos en torno a los 40 días y se aventuran a salir al exterior después de unas 10 semanas. Las crías empiezan a comer alimentos sólidos alrededor de los 80 días y el destete tiene lugar a las 14 semanas. Pueden nadar cuando tienen unos 3 meses. Las crías alcanzan su tamaño adulto después de unos 6 meses."
Antílope acuático,353,habbit,"Los Antílopes acuáticos son de naturaleza Sedentaria, sin embargo, pueden migrar con el inicio del monzón. Son animales gregarios que forman manadas compuestas por entre 6 y 30 individuos. Los distintos grupos son las manadas de cría, las manadas de solteros y los machos territoriales. En cuanto los machos jóvenes empiezan a desarrollar cuernos (en torno a los 7-9 meses de edad), son expulsados de la manada por los toros territoriales. Estos machos forman entonces manadas de solteros y pueden merodear por los territorios de las hembras. Unas pocas hembras pueden formar manadas de solteronas. Aunque las hembras rara vez son agresivas, pueden surgir pequeñas tensiones en las manadas. Los Antílopes acuáticos suelen alimentarse por la mañana y por la noche. Son animales típicamente silenciosos pero utilizarán resoplidos de alarma para la comunicación vocal. Los antílopes acuáticos son excelentes nadadores y a menudo entran en el agua para escapar de los Depredadores; sin embargo, se ha observado que no les gusta especialmente estar en el agua. También pueden correr a esconderse cuando se alarman y los machos suelen atacar a los Depredadores."
Antílope acuático,353,appearance,"El Antílope acuático es la mayor de las seis especies de Kobus y es uno de los antílopes más pesados. Tiene una complexión robusta. El pelaje desgreñado es entre marrón rojizo y gris, y se oscurece progresivamente con la edad. Los machos son más oscuros que las hembras. Aunque aparentemente espeso, el pelo es escaso en el pelaje. El pelo del cuello es, sin embargo, largo y desgreñado. Cuando se excita, la piel del Antílope acuático segrega una sustancia grasienta con olor a almizcle, lo que le da el nombre de ""Cobo grasiento"". Su olor es tan desagradable que repele a los Depredadores. Esta secreción también ayuda a impermeabilizar el cuerpo cuando el animal se sumerge en el agua. Los rasgos faciales incluyen un hocico blanco, cejas claras y el interior de las orejas más claro. Una mancha de color crema (llamada ""babero"") se encuentra en la garganta. El Antílope acuático se caracteriza por un cuello largo y patas cortas, Fuertes y negras. Los cuernos, largos y en espiral, se curvan hacia atrás y luego hacia delante. Los cuernos, que sólo se encuentran en los machos, miden entre 55 y 99 cm de longitud. Hasta cierto punto, la longitud de los cuernos está relacionada con la edad del toro."
Antílope acuático,353,mating,"Los Antílopes acuáticos son reproductores poligínicos; esto significa que un macho se aparea con más de una hembra. La época de cría de estos antílopes varía según la ubicación. En las Regiones ecuatoriales, tiene lugar durante todo el año, y los nacimientos alcanzan su punto álgido en la estación de lluvias. Sin embargo, en Sudán (al sur del Sáhara), la época de apareamiento suele durar cuatro meses. En algunas zonas del sur de África, la época de apareamiento se prolonga incluso durante más tiempo. El periodo de gestación dura de 7 a 8 meses, seguido del nacimiento de una sola cría. Los gemelos son raros. Las hembras preñadas se aíslan en matorrales a medida que se acerca el parto. Los terneros recién nacidos pueden ponerse de pie a la media hora de nacer. Se mantienen ocultos desde las 2 ó 3 semanas hasta los 2 meses. Alrededor de las 3 ó 4 semanas, la cría empieza a seguir a su madre, que le hace una señal levantando la cola. Aunque carecen de cuernos, las madres defienden ferozmente a sus crías de los depredadores. Las crías son destetadas a los 8 meses de edad, momento a partir del cual se unen a grupos de crías de su misma edad. Las hembras jóvenes permanecen con sus madres en manadas de cría, o también pueden unirse a manadas de solteros. Mientras que los machos alcanzan la madurez reproductiva a los 6 años, las hembras lo hacen a los 2-3 años."
Visón europeo,354,habbit,"Los visones europeos son errantes solitarios, con territorios de Río. Los territorios de verano son más pequeños que los de invierno. A lo largo de las costas, la longitud de un territorio natal varía entre 250 y 2.000 m, con una anchura de 50 a 60 m. Rara vez utilizan la misma madriguera, la hembra suele permanecer cerca de la madriguera, excepto cuando la escasez de comida la lleva a buscar otro sitio. Un individuo utilizará una madriguera permanente así como refugios temporales, el permanente utilizado todo el año excepto durante las inundaciones, estando a 6-10 m (6.6-10.9 yd) del borde del agua. Los visones europeos son algo sedentarios y permanecen en sus madrigueras durante largos periodos cuando hace mucho frío. Alrededor del anochecer y antes del amanecer son sus momentos más activos. Son animales rápidos y ágiles, que nadan y bucean con destreza. Son capaces de correr por el lecho de los arroyos y permanecer bajo el agua entre uno y dos minutos. Al nadar, reman con las extremidades anteriores y posteriores simultáneamente."
Visón europeo,354,appearance,"Pequeño mustélido de color marrón uniforme, con labios de color blanco. Se distingue del visón americano porque este no tiene blanco el labio superior, es más grande y tiene un color ligeramente más oscuro."
Visón europeo,354,mating,"Tiene el celo en marzo-abril y las hembras paren de dos a seis crías en mayo-junio, las que permanecen alrededor de un mes en la madriguera. Alcanzan la madurez sexual a los nueve o diez meses aunque ya adquieren el tamaño adulto a los tres meses de edad."
Giraffa reticulata,355,habbit,"Las Giraffa reticulata son activas durante el día y la noche. Son más activas durante las primeras y las últimas horas del día debido a su entorno más cálido. Pasan la mayor parte del día alimentándose, aproximadamente 13 horas al día. Sus patrones de sueño suelen ser cortos, consistiendo en no más de un par de horas seguidas normalmente de pie. Las Jirafas reticuladas no son territoriales y sus áreas de distribución suelen solaparse con las de otros individuos o grupos. Estas áreas de campeo incluyen tanto machos como hembras y varían en tamaño dependiendo de los recursos alimenticios, el sexo y la disponibilidad de agua. Las Giraffa reticulata suelen verse en grupos de 3 a 9 ejemplares, pero hay casos de individuos solitarios. El parentesco entre las hembras suele impulsar a un grupo. Se sabe que las hembras comparten la protección de Otras crías en caso de Depredador."
Giraffa reticulata,355,appearance,"El patrón distintivo del pelaje de la Giraffa reticulata consiste en manchas poligonales de bordes afilados, de color marrón rojizo, divididas por una red de finas líneas blancas. Las manchas pueden o no extenderse por debajo de los corvejones, y en los machos está presente una protuberancia mediana."
Giraffa reticulata,355,mating,"Una vez preñada, una jirafa hembra tiene un período de gestación de unos 15 meses y por lo general sólo tiene una cría de cada vez, pero puede tener hasta ocho a lo largo de su vida. Las hembras regresan al mismo lugar cada año para parir a sus crías. Las jirafas pueden tener hijos en todo momento durante el año, pero la mayoría de los nacimientos se producen durante la estación seca. Al nacer, las jirafas caen desde siete pies de altura al suelo, ya que la madre pare de pie. Las crías de jirafa pueden llegar a pesar hasta 100 kilos al nacer, y llegar a medir 6 pies de altura. Un bebé jirafa puede ponerse de pie menos de media hora después de nacer, y son capaces de alimentarse de la leche materna. Se sigue alimentando de la leche hasta que esté cerca de un año de edad. Pueden crecer 9 pulgadas durante el primer mes, y continuarán creciendo a un ritmo enorme durante el primer año. Después de eso, el crecimiento se reduce a menos de una pulgada por año. Las jirafas son un animal muy orientado a la manada, e incluso le confían el cuidado de sus crías a la multitud. Las hembras comienzan a reproducirse en unos 4 años, y los machos a 10 años."
Arruí,356,habbit,"Estos animales viven en pequeños grupos, normalmente con un macho dominante y varias hembras. Los machos compiten por el dominio de la cría, aunque los machos de diferentes edades pueden convivir bastante bien. Un macho adulto debe ganarse su posición al frente de un grupo de hembras mediante exhibiciones de intimidación, mostrando la magnífica melena de pelo, y peleas feroces en las que dos machos se colocan a una distancia de hasta 15 metros, luego caminan rápidamente hacia el otro, bajan la cabeza y rompen a correr para chocar entre sí. Al vivir en zonas desérticas, estas ovejas suelen ser más activas durante el amanecer y el atardecer, intentando permanecer a la sombra o al abrigo durante el día, cuando hace calor. Cuando se ven amenazadas, no suelen huir de un Depredador, sino que se quedan extremadamente quietas para mimetizarse con el entorno."
Arruí,356,appearance,"El tamaño máximo que alcanzan los machos (los machos adultos son mucho más grandes que las hembras) es de 165 cm de largo y 110 de altura a la cruz, con un peso de hasta 150 kg. La cola es lanosa y notablemente larga en comparación con otros miembros de la subfamilia Caprinae, pues alcanza los 20 cm de largo. El pelaje es muy corto, salvo en la cola y la densa barba que en los machos recorre la parte delantera del cuello. El color es rojizo o pardo claro, similar al de la arena de los desiertos donde vive, ligeramente más claro en la parte inferior del cuerpo y en machos viejos la crin y las barbas es color negro. Ambos sexos presentan barba y cuernos curvos, que en el caso de los machos son más largos y gruesos que en las hembras. Estos cuernos pueden medir hasta 46 pulgadas en los machos confinados a reservas cinegéticas del norte de México y sur de Texas, pero en zonas libres o de “cerco bajo” un borrego adulto puede alcanzar hasta las 34 pulgadas."
Arruí,356,mating,"El apareamiento suele tener lugar en los meses otoñales, entre septiembre y noviembre, aunque en cautividad puede reproducirse a lo largo de todo el año. Tras cinco meses y medio de gestación, las hembras paren generalmente una sola cría, si bien, cuando las hembras se encuentran en condiciones óptimas suelen tener partos gemelares y, excepcionalmente, parir trillizos. La lactancia es más acentuada el primer mes de vida, pero el destete puede tener lugar a edades muy variables, dependiendo del próximo apareamiento de la madre; en promedio suele ocurrir a los ocho meses de edad. Los machos y las hembras pueden considerarse sexualmente maduros cuando tienen 14 meses y 9 meses, respectivamente. La esperanza de vida de la especie es de unos veinte años en cautividad."
Cabra salvaje,357,habbit,"Las cabras salvajes son animales de hábitat de Montaña y, por lo tanto, muy ágiles y resistentes; pueden trepar por la roca desnuda y sobrevivir con una vegetación escasa. Las cabras salvajes son gregarias y, si no se las molesta, se congregan en rebaños bastante grandes. Los machos más viejos se asocian con esos rebaños pero, por lo general, se mantienen juntos, a menudo en la periferia de la banda principal. Cuando se les molesta, son mucho más cautelosos y se esconden en riscos inaccesibles muy temprano por la mañana, saliendo de nuevo justo antes del anochecer. Durante la época más calurosa del año, se echan más durante el día y pueden pastorear una parte considerable de la noche. Las Cabras salvajes tienen un maravilloso sentido del equilibrio y pueden dar un salto de pie de 1,75 m (5-6 pies) hacia arriba sobre una superficie rocosa aparentemente vertical. Parecen casi lentas y deliberadas cuando atraviesan paredes rocosas pero pueden deslizarse sin herirse por paredes rocosas casi perpendiculares con caídas de hasta 4-6 m (13-20 pies)."
Cabra salvaje,357,appearance,"En invierno, los machos de Cabra salvaje son de color pálido y tienen la barba y el pecho oscuros. Ambos sexos tienen barba y cuernos. Los cuernos de los machos son más largos y pueden alcanzar hasta 127 centímetros; son curvos y tienen forma de arco."
Cabra salvaje,357,mating,"Las Cabras salvajes son reproductoras poligínicas, lo que significa que un macho se aparea con más de una hembra. La época de apareamiento suele tener lugar de noviembre a enero. Durante esta época los machos producen sustancias aceitosas de su piel que atraen a una hembra y los machos también luchan entre sí por los derechos de apareamiento. Durante el celo, los machos viejos también expulsan a los más jóvenes de las manadas maternas. El periodo de gestación dura una media de 170 días y entre finales de junio y mediados de julio las hembras dan a luz entre 1 y 3 crías. Los cabritos son móviles casi inmediatamente después de nacer y suelen ser destetados a los 6 meses de edad. Las hembras jóvenes alcanzan la madurez reproductiva entre 1,5 y 2,5 años, mientras que los machos empiezan a criar cuando tienen entre 3,5 y 4 años."
Alcélafo,358,habbit,"Los alcelafos son antílopes muy rápidos y resistentes; prefieren las hierbas secas y ralas, y una dieta escasa en agua. Al igual que otras especies de la sabana, suelen asociarse con las cebras y los ñues para detectar a sus predadores.Son de hábitos diurnos y ocupan la mañana y el atardecer pastando. Los rebaños contienen entre cinco a veinte individuos y ocasionalmente se han visto grupos de hasta 350 individuos."
Alcélafo,358,appearance,"Con un largo entre 1,5 a 2,4 m, una altura a la cruz de 1,2 a 1,5 m y un peso entre los 120 a 200 kg es este un antílope de gran tamaño. Se caracterizan por tener las patas delanteras notablemente más largas que las traseras, a la manera de las jirafas, de forma que su cabeza sobresale sobre las hierbas altas de las sabana. Sus cabezas son muy largas y estrechas, y poseen grandes glándulas bajo sus ojos. Ambos sexos poseen cuernos anillados que llegan a medir hasta 70 cm y que nacen sobre sus alargadas frentes. Esto contribuye a su aspecto estrambótico.Los machos son de color marrón oscuro, mientras que las hembras son de un marrón más claro. Las varias subespecies se distinguen entre sí por el color de su pelaje, el cual varía desde un marrón oscuro a un gris amarronado, y por la forma de sus cornamentas. Todas las subespecies tienen cuernos en ambos sexos."
Alcélafo,358,mating,"Alcanzan la madurez sexual a los 12 meses, pero alcanzan su peso máximo a la edad de 4 años. El período de gestación dura de 214 a 242 días. La hembra pare una única cría, una vez por año."
Mangabey gris,359,habbit,"Los Mangabey grises son Primates Terrestres y suelen pasar la mayor parte de su tiempo total en el suelo. Son activos durante el día. Viven y se alimentan en grandes grupos de entre 70 y 120 individuos, formados por varios machos y varias hembras. En cada grupo, los Mangabey grises forman jerarquías de dominancia lineales dentro de los sexos y forman coaliciones; dentro de estas jerarquías, las hembras de mayor rango suelen pasar menos tiempo forrajeando que alimentándose que sus homólogas de menor rango y se sitúan más en el centro de los grupos. Del mismo modo, los machos de mayor rango están situados más centralmente dentro del grupo y están mejor alimentados y descansados. En general, sin embargo, las hembras se encuentran en una posición espacial más central dentro del grupo y se alimentan y descansan mejor que los machos, independientemente de su rango. Los Mangabey grises tienen muchos depredadores y, como resultado, han evolucionado llamadas de alarma acústicamente distintas para los diferentes tipos de depredadores. Estas llamadas no se vocalizan específicamente a favor de los parientes o compañeros de cooperación y, de hecho, son utilizadas por otras especies de monos para evitar a posibles Depredadores. Los Mangabey grises también producen otras vocalizaciones para una amplia variedad de interacciones sociales. Con frecuencia producen gruñidos, twitters y gritos. Otra vocalización notable son los ""whoop gobbles"", llamadas prolongadas de baja frecuencia emitidas por los machos a gran volumen durante la mañana, con un grupo cercano o con avistamientos o ataques de Depredadores."
Mangabey gris,359,appearance,"Los Mangabey grises son Primates de color gris con el pecho y el vientre de color más claro. Sus rostros suelen ser de color rosa grisáceo, con pelaje más oscuro a lo largo de la frente y las orejas. También tienen fuertes molares."
Mangabey gris,359,mating,"Los Mangabey grises tienen un sistema de apareamiento poliginándrico (promiscuo) en el que tanto los machos como las hembras tienen múltiples parejas. La reproducción suele tener lugar de mayo a septiembre. Tras una gestación de 160-170 días, la hembra da a luz a una sola cría que es amamantada y protegida hasta los 4-10 meses de edad. Las hembras jóvenes alcanzan la madurez reproductiva alrededor de los 4,5 años de edad, mientras que los machos jóvenes empiezan a criar a los 4 años."
Tar del himalaya,360,habbit,"Su capacidad de subir sobre la roca y la nieve es magnífica. El tar anda sobre la roca sin ninguna preocupación. Cuando es molestado o lo asustan simplemente se escapan, por las rocas sin medir ningún peligro perceptible. Es herbívoro y se alimenta de los árboles y la hierba. Los machos viven solos y las hembras con su cría y se reúnen solamente en la época de celo. La gestación dura 7 meses, las hembras pare una sola cría que amamantan durante 6 meses: la madurez sexual ocurre a los 18 meses. Puede vivir hasta 15 años, aunque en promedio viven 10 años. El tar del Himalaya es considerado vulnerable por el World Conservation Union (IUCN). En áreas de introducción, como Nueva Zelandia, Nuevo México, California, Sudáfrica, y Ontario, sus únicos predadores son los humanos que lo cazan para alimento, deporte, y trofeos."
Tar del himalaya,360,appearance,"Mide entre 120 y 170 cm y entre 60 y 100 cm de altura. Pesa entre 135 y 180 kg. El tar posee cuernos, que van hasta atrás de la cabeza y tiene un abrigo magnífico de invierno, y su melena como la de un león. Un thar maduro es un animal realmente imponente."
Tar del himalaya,360,mating,"Los Tar del himalaya son polígamos, lo que significa que un macho se aparea con varias hembras. La época de cría suele tener lugar de finales de octubre a enero. Durante el celo, los machos suelen competir con Otros machos por el acceso a las hembras. Entre los factores que contribuyen al éxito reproductivo se encuentran el gran tamaño corporal, el gran tamaño de los cuernos y una gran agresividad. El color del pelaje es un factor que determina el rango entre los tar del himalaya, y los machos con pelaje claro se aparean más a menudo. Las hembras preñadas abandonan sus rebaños para dar a luz y regresan después de que hayan nacido las crías. El periodo de gestación dura entre 180 y 242 días. Suele nacer una cría; es Precoz y puede ponerse de pie poco después de nacer. A la edad de 6 meses, la cría es destetada pero permanecerá con la madre unos 2 años más."
Ratón de campo,361,habbit,"El Ratón de campo es normalmente Nocturno, excepto las hembras lactantes que pueden tener breves periodos de actividad durante las horas diurnas. Además, algunos machos también pueden ser activos de día. En lugar de Hibernar, estos roedores se reúnen en nidos comunales durante los fríos meses de invierno. En primavera, las hembras se trasladan a sus propios territorios para anidar en solitario. Se conocen casos de dos hembras en un mismo territorio. Las viviendas de estos roedores son madrigueras subterráneas, normalmente situadas bajo las raíces de arbustos o árboles, en huecos de árboles, edificios, así como en cajas nido de pájaros y lirones. Cada madriguera tiene cámaras para nidos y almacenes de comida. Estas madrigueras suelen ser utilizadas por las generaciones siguientes y a veces pueden ser ampliadas o modificadas si es necesario. Los ratones de campo son excelentes trepadores. Se sabe que utilizan nidos de pájaros abandonados, situados en lo alto de los árboles y que les proporcionan lugares apartados, donde pueden disfrutar de bayas y Otro tipo de alimento que han almacenado en caché. Rara vez se desplazan y suelen vivir en la misma zona. Se sabe que los ratones de campo realizan viajes nocturnos de 400 m (un cuarto de milla)."
Ratón de campo,361,appearance,"El ratón de campo es un pequeño roedor, de unos 8 a 10 cm de longitud, más otros 8 a 10 si se incluye la cola. Esta está desprovista de pelo y siempre es igual o mayor que el resto del cuerpo. La coloración del animal esamarillo-rojiza en la parte superior, mientras que el vientre es blanquecino y está claramente delimitado por el color. El macho suele ser mayor que la hembra, aunque no se puede considerar que exista dimorfismo sexual. Los ojos son grandes y oscuros, la cabeza es grande y alargada y las orejas también son más grandes, lo que posibilita su diferenciación de ratones del género Mus.  Casi totalmente nocturno, vive en oquedades diversas o bien en madrigueras, excavando cámaras y galerías. Su longevidad muy raramente excede de los 2 años, y durante el invierno no experimentan letargo, sino que se van alimentando de las reservas almacenadas anteriormente. Su alimentación consiste en semillas de cierto tamaño, frutos y bayas, principalmente, aunque también pueden consumir pequeños invertebrados y brotes tiernos de plantas. Los frutos secos recientemente afectados por el ratón de campo pueden identificarse por presentar una corona en uno de sus vértices y un corte redondo. Lo provoca la costumbre de agarrar los frutos con las extremidades delanteras al consumirlos mientras los apoya en el pecho. Los incisivos van dejando las marcas características mientras el animal gira el fruto, hasta que consigue una abertura suficiente como para sacar la semilla de dentro del fruto. Comparten con los lagomorfos la costumbre de ingerir las heces de la madre cuando son jóvenes, para tener una fuente de vitamina B12 y de flora bacteriana que les posibilite digerir la celulosa. No es posible establecer un período concreto de reproducción, puesto que se ve afectado por variables climáticas que influyan en la disponibilidad de alimento. Las camadas suelen ser dos al año, aunque en ocasiones pueden ser tres; para el nido construyen madrigueras o seleccionan oquedades de diverso tipo (árboles, rocas, etc). Durante la cría la pareja presenta territorialidad, aunque el resto del tiempo pueden convivir con otros individuos en el mismo refugio. La camada tiene un tamaño medio de cuatro a cinco crías. La gestación dura unos 25 días y la lactancia tres semanas más. La madurez sexual se alcanza unas semanas tras el destete."
Ratón de campo,361,mating,"Los ratones de campo tienen un sistema de apareamiento poligínico. Se reproducen entre febrero y octubre. Durante este periodo, los individuos compiten por sus derechos de apareamiento. Las hembras del Ratón de campo pueden producir hasta 4 camadas al año. El periodo de gestación dura entre 21 y 26 días, de los que nacen entre 4 y 7 crías, que nacen en una cámara nido en la madriguera de su madre que está forrada con una suave capa inferior de hojas, musgo y hierba. Los ojos de las crías recién nacidas están cerrados y se abren a los 6 días, momento en el que ya han adquirido su pelaje, que es más oscuro que el de los individuos maduros. A las 3 semanas, las crías son expulsadas del nido por su madre, tras lo cual comienzan a vivir de forma independiente. En 2 meses, los jóvenes Ratones de campo alcanzan la madurez reproductiva."
Gerenuc,362,habbit,"Estos animales pueden vivir en pequeños grupos formados por hembras de la misma familia y sus crías, en grupos de machos solteros o como machos solitarios. Los últimos se cree que son territoriales, pero como su alcance es grandes y su población usualmente dispersa, ha sido difícil para los científicos determinar si estos animales defienden su territorio. El grupo de hembras recorre un terreno, considerado su casa, de 1 o 2 millas cuadradas, atravesando los territorios de los machos."
Gerenuc,362,appearance,"Su característica más sobresaliente es un cuello excepcionalmente largo, característica de la cual recibe su nombre. La cabeza del gerenuc es pequeña para su tamaño, pero sus ojos y orejas son grandes. Solo los machos presentan cuernos, los cuales son robustos y presentan muchos anillos, además poseen un cuello más musculado que las hembras. Son marrones en la parte más alta de la espalda, y marrones más claro a los lados. La cola corta parece más larga, ya que termina en un mechón de pelo negro. Como muchas otras gacelas, los gerenucs poseen glándulas preorbitales frente a sus ojos que segregan una sustancia olorosa similar al alquitrán, la cual depositan sobre ramas y arbustos para marcar su territorio. También presentan glándulas de olor en sus rodillas, las cuales están cubiertas por mechones de pelo y en las grietas de sus pezuñas."
Gerenuc,362,mating,"Cuando está lista para dar a luz, la hembra deja el grupo y se dirige a un lugar apartado. Luego de dar a luz, ella lame a la cría para limpiarla y come la placenta, posiblemente por los nutrientes que posee y para evitar que el olor atraiga a predadores. El estar adaptados para alimentarse de plantas que se encuentran todo el año puede permitir a los gerenucs tener crías en cualquier momento en vez de solo antes de la temporada de lluvias, como sucede en los animales que se alimentan de pasto."
Foca ocelada,363,habbit,"Las focas oceladas son diurnas, lo que significa que están activas durante el día. Los adultos son solitarios excepto durante la época de cría, cuando pueden establecer sus guaridas más cerca unas de otras. A mediados de mayo, comienzan a subir al hielo para tomar el sol. Durante esta época mudan y se alimentan menos. Las focas oceladas cazan por su cuenta y en el hielo, cuando descansan, se mantienen alejadas de Otro. Suelen permanecer cerca de agujeros o grietas para poder entrar rápidamente en el agua si lo necesitan. También hacen guaridas con la nieve para protegerse. Mientras se alimentan, las focas oceladas se sumergen a profundidades de entre 11 y 46 m (35 y 150 pies). En verano suelen alimentarse a lo largo del borde del hielo marino en busca de bacalao polar."
Foca ocelada,363,appearance,"La Foca ocelada es el más pequeño de los pinnípedos. El color de su pelaje es variable, pero suele ser gris oscuro en las partes superiores, mientras que es gris claro a plateado por debajo. Las manchas gris oscuro están anilladas por círculos plateados o blanco grisáceo claro, que son más claros en los costados y el lomo y a menudo están tan juntos que se fusionan. La foca ocelada es regordeta, con una cabeza pequeña y redonda y un cuello grueso y corto. Su hocico ancho y romo y sus ojos grandes, orientados hacia delante y muy juntos le dan un aspecto casi felino. Las aletas delanteras son relativamente pequeñas, con garras ligeramente puntiagudas de más de una pulgada de grosor, utilizadas para mantener los agujeros de respiración en el hielo espeso. Sus bigotes son rebordeados y de color claro. Los machos suelen ser ligeramente más grandes que las hembras."
Foca ocelada,363,mating,"Las focas oceladas son polígamas, un macho se aparea con varias hembras. Se reproducen de abril a mayo. Las hembras construyen guaridas entre el grueso hielo donde dan a luz. En marzo o abril, tras una gestación de 9 meses, paren una sola cría. Amamantan a sus crías durante 5 a 7 semanas y, durante este tiempo, pueden trasladar a sus crías entre guaridas, teniendo normalmente de 4 a 6 guaridas. Esto permite a los cachorros desplazarse de forma independiente de una guarida a otra cuando son mayores si son atacados. Las hembras suelen tener crías entre los 6 y los 8 años. Los machos no suelen criar hasta que tienen entre 8 y 10 años."
Garduña,364,habbit,"Se alimenta de pequeños roedores, pequeños mamíferos, pájaros, anfibios, huevos, insectos, fruta y miel. Es un animal solitario. Se desplaza rápidamente a saltos por su amplio territorio de caza que puede ser de 2 a 10 km y no duda en defenderlo de otros machos adultos. Suele disponer de varias madrigueras entre rocas y tocones de árboles viejos las cuales ocupa indistintamente. Muy a menudo vive sola en su madriguera (un hueco entre rocas, en un árbol u ocupado anteriormente por otro animal), marca su territorio que, normalmente, es de 80 hectáreas y es básicamente nocturna y silenciosa."
Garduña,364,appearance,"En estado adulto, la garduña mide entre 40 y 50 cm de longitud, la cola mide entre 21 y 27 centímetros, y su peso oscila entre 1 y 2 kg. Muy parecida a la marta (Martes martes), no en vano tienen antepasados comunes, pero es ligeramente más paticorta y corpulenta, tiene el hocico más chato y las orejas más pequeñas, y se distingue de aquella por su babero de color blanco que se abre en horquilla hacia las extremidades delanteras. Tiene un excelente oído y muy buena vista y olfato. El cráneo es similar al de la marta, pero es de menor tamaño, con una longitud de casi 8 cm.  Su fórmula dentaria es la siguiente: 3/3, 1/1, 4/4, 1/2 = 38. "
Garduña,364,mating,"Las garduñas alcanzan la madurez sexual entre los 18 meses y los 3 años. La garduña tiene dos épocas de reproducción al año, la primera durante el mes de febrero y la otra entre junio y agosto. Al ser de costumbres solitarias, machos y hembras únicamente se juntan para aparearse. Los machos se pelean y gritan, recorren largas distancias hasta encontrar una hembra. Este período de salida dura unos 15 días. La hembra retendrá los espermatozoides vivos del macho en su interior hasta más o menos el mes de enero debido a la implantación diferida. La gestación dura unos 56 días. Cría a partir del mes de marzo en madrigueras o bajo las cavidades de los bloques de piedras. Puede tener de 3 a 7 crías. Las alimentan gracias a sus cuatro glándulas mamarias."
Rata de gambia,365,habbit,"Las ratas de Gambia son animales nocturnos, ya que no tienen mucha tolerancia al calor del día. Durante el día permanecen inactivos en sus madrigueras, y por la noche salen a buscar comida. Aunque tienen unos pequeños ojos, las ratas de Gambia son nocturnas, lo cual sugiere que su orientación y movimiento se basa en otros sentidos como el olfato y el oído, en vez de la vista, para encontrar comida y evitar amenazas. Además, son grandes escaladoras y nadadoras.Los machos suelen ser solitarios, mientras que las hembras viven con otras hembras y camadas. Son animales muy territoriales que se mostrarán muy agresivos al defender sus madrigueras. Sin embargo, fuera de su territorio son animales fácilmente domesticables y fáciles de capturar y de mantener, por lo tanto se ha estudiado la capacidad de usarlo en el mercado como fuente de comida. En cuanto a sus hábitos alimenticios, las ratas de Gambia pueden llevar mucha comida en sus mejillas. Son omnívoras y se alimentan de frutas, vegetales, nueces, insectos y raíces."
